Date,FB,AMZN,AAPL,GOOG
11/6/2013,49.12,356.18,74.42,510.86
11/7/2013,47.56,343.56,73.213,503.47
11/8/2013,47.53,350.31,74.37,507.51
11/11/2013,46.2,354.378,74.15,504.79
11/12/2013,46.605,349.53,74.29,505.38
11/13/2013,48.71,356.22,74.376,515.72
11/14/2013,48.99,367.396,75.45,517.1
11/15/2013,49.01,369.17,74.999,516.263
11/18/2013,45.83,366.18,74.09,515.2592
11/19/2013,46.36,364.94,74.22,512.089
11/20/2013,46.43,362.57,73.57,510.64
11/21/2013,46.7,368.92,74.448,516.52
11/22/2013,46.23,372.31,74.26,515.4291
11/25/2013,44.82,376.64,74.82,522.442
11/26/2013,45.89,381.37,76.2,528.676
11/27/2013,46.49,386.71,77.9943,531.02
11/29/2013,47.01,393.62,79.44,529.27
12/2/2013,47.06,392.3,78.7471,526.71
12/3/2013,46.73,384.66,80.903,526.1
12/4/2013,48.62,385.96,80.71,528.56
12/5/2013,48.34,384.49,81.1287,528.14
12/6/2013,47.94,386.95,80,534.4
12/9/2013,48.84,384.89,80.9186,538.53
12/10/2013,50.245,387.78,80.79,541.79
12/11/2013,49.38,382.19,80.19,538.11
12/12/2013,51.83,381.25,80.08,534.45
12/13/2013,53.32,384.24,79.2,529.865
12/16/2013,53.81,388.97,79.6429,535.95
12/17/2013,54.86,387.65,79.284,534.4
12/18/2013,55.57,395.96,78.68,541.83
12/19/2013,55.05,395.19,77.78,542.57
12/20/2013,55.12,402.2,78.4314,549.7597
12/23/2013,57.77,402.92,81.44,556.9924
12/24/2013,57.96,399.2,81.1,555.36
12/26/2013,57.73,404.39,80.557,558.17
12/27/2013,55.44,398.08,80.01,558.64
12/30/2013,53.71,393.37,79.217,554.18
12/31/2013,54.649,398.79,80.15,559.79
1/2/2014,54.71,397.97,79.019,556.0034
1/3/2014,54.557,396.44,77.28,551.95
1/6/2014,57.2,393.63,77.7,558.1
1/7/2014,57.92,398.03,77.1482,568.8593
1/8/2014,58.23,401.92,77.64,570.04
1/9/2014,57.22,401.01,76.6456,564.55
1/10/2014,57.94,397.66,76.13,564.52
1/13/2014,55.91,390.98,76.53,560.9285
1/14/2014,57.74,397.54,78.06,574.13
1/15/2014,57.6,395.87,79.62,573.74
1/16/2014,57.19,395.8,79.18,577.532
1/17/2014,56.3,399.61,77.24,574.69
1/21/2014,58.51,407.05,78.44,581.27
1/22/2014,57.51,404.54,78.7871,581.93
1/23/2014,56.63,399.87,79.4543,579.47
1/24/2014,54.45,387.6,78.01,561.353
1/27/2014,53.55,386.28,78.64,550.06
1/28/2014,55.14,394.43,72.36,560.943
1/29/2014,53.53,384.2,71.54,552.91
1/30/2014,61.08,403.01,71.397,567.129
1/31/2014,62.57,358.69,71.51,589.89
2/3/2014,61.48,346.15,71.65,566.148
2/4/2014,62.75,347.95,72.68,568.51
2/5/2014,62.19,346.45,73.2271,571.03
2/6/2014,62.16,354.59,73.22,579.4
2/7/2014,64.32,361.08,74.24,588.131
2/10/2014,63.548,360.87,75.57,585.88
2/11/2014,64.851,361.79,76.57,594.4949
2/12/2014,64.45,349.25,76.56,592.75
2/13/2014,67.33,357.2,77.78,599.35
2/14/2014,67.09,357.35,77.7129,600.8
2/18/2014,67.3,353.65,78,604.83
2/19/2014,68.06,347.38,76.77,600.569
2/20/2014,69.63,349.8,75.88,601.453
2/21/2014,68.59,346.76,75.0357,601.293
2/24/2014,70.78,351.78,75.3643,605.65
