Date,AAPL,GOOG
5/1/2015,128.95,537.9
5/4/2015,128.7,540.78
5/5/2015,125.8,530.8
5/6/2015,125.01,524.22
5/7/2015,125.26,530.7
5/8/2015,127.62,538.22
5/11/2015,126.32,535.7
5/12/2015,125.865,529.04
5/13/2015,126.01,529.62
5/14/2015,128.95,538.4
5/15/2015,128.77,533.85
5/18/2015,130.19,532.3
5/19/2015,130.07,537.36
5/20/2015,130.06,539.27
5/21/2015,131.39,542.51
5/22/2015,132.54,540.11
5/26/2015,129.62,532.32
5/27/2015,132.045,539.79
5/28/2015,131.78,539.78
5/29/2015,130.28,532.11
6/1/2015,130.535,533.99
6/2/2015,129.96,539.18
6/3/2015,130.12,540.31
6/4/2015,129.36,536.7
6/5/2015,128.65,533.33
6/8/2015,127.8,526.83
6/9/2015,127.42,526.69
6/10/2015,128.88,536.69
6/11/2015,128.59,534.61
6/12/2015,127.17,532.33
6/15/2015,126.92,527.2
6/16/2015,127.6,528.15
6/17/2015,127.3,529.26
6/18/2015,127.88,536.73
6/19/2015,126.6,536.69
6/22/2015,127.61,538.19
6/23/2015,127.03,540.48
6/24/2015,128.11,537.84
6/25/2015,127.5,535.23
6/26/2015,126.75,531.69
6/29/2015,124.53,521.52
6/30/2015,125.425,520.51
7/1/2015,126.6,521.84
7/2/2015,126.44,523.4
7/6/2015,126,522.86
7/7/2015,125.69,525.02
7/8/2015,122.57,516.83
7/9/2015,120.07,520.68
7/10/2015,123.28,530.13
7/13/2015,125.66,546.55
7/14/2015,125.61,561.1
7/15/2015,126.82,560.22
7/16/2015,128.51,579.85
7/17/2015,129.62,672.93
7/20/2015,132.07,663.02
7/21/2015,130.75,662.3
7/22/2015,125.22,662.1
7/23/2015,125.16,644.28
7/24/2015,124.5,623.56
7/27/2015,122.77,627.26
7/28/2015,123.38,628
7/29/2015,122.99,631.93
7/30/2015,122.37,632.59
7/31/2015,121.3,625.61
8/3/2015,118.44,631.21
8/4/2015,114.64,629.25
8/5/2015,115.4,643.78
8/6/2015,115.13,642.68
8/7/2015,115.52,635.3
8/10/2015,119.72,633.73
8/11/2015,113.49,660.78
8/12/2015,115.24,659.56
8/13/2015,115.15,656.45
8/14/2015,115.96,657.12
